   Sex  BMIcat       BMIquant  Age  DGestimate  DGerror  SBestimate  SBerror
    2   underweight   15.66     78      44        -34        60        -18  
    1   normal        23.03     44      32        -12        35         -9  
    1   overweight    27.92     72      32        -40        61        -11  
    1   overweight    27.83     59      44        -15        61          2  
    1   normal        21.41     60      32        -28        46        -14  
    1   underweight   13.65     34      25         -9        35          1  
    1   overweight    25.86     50      32        -18        35        -15  
    1   underweight   14.56     73      50        -23        61        -12  
    1   normal        22.44     70      39        -31        46        -24  
    1   normal        19.88     60      44        -16        46        -14  
    1   normal        23.24     58      32        -26        35        -23  
    1   overweight    25.09     61      32        -29        61          0  
    2   overweight    25.68     52      44         -8        48         -4  
    1   normal        24.97     67      44        -23        46        -21  
    1   normal        23.32     60      44        -16        46        -14  
    1   normal        23.29     68      50        -18        61         -7  
    2   overweight    27.37     35      12        -23        38          3  
    2   obese         34.82     81      39        -42        48        -33  
    2   underweight   12.29     73      44        -29        60        -13  
    1   normal        23.85     65      39        -26        46        -19  
    1   normal        24.89     57      57          0        46        -11  
    2   normal        24.69     67      32        -35        60         -7  
    2   normal        23.18     60      44        -16        60          0  
    1   normal        24.71     35      32         -3        35          0  
    1   overweight    26.62     64      32        -32        46        -18  
    1   normal        23.85     76      32        -44        46        -30  
    2   underweight   17.92     39      32         -7        38         -1  
    1   overweight    29.45     60      44        -16        46        -14  
    1   normal        22.98     41      61         20        61         20  
    1   obese         40.03     55      32        -23        46         -9  
    2   normal        19.81     38      57         19        31         -7  
    1   normal        23.08     60      61          1        46        -14  
    1   normal        20.61     70      50        -20        61         -9  
    1   normal        22.65     70      44        -26        61         -9  
    1   normal        24.54     50      44         -6        46         -4  
    1   overweight    26.13     28      25         -3        23         -5  
    2   underweight   17.48     66      44        -22        60         -6  
    1   normal        24.3      45      39         -6        46          1  
    1   overweight    26.98     44      32        -12        61         17  
    2   normal        18.63     43      15        -28        31        -12  
    2   normal        20.26     52      50         -2        48         -4  
    1   underweight   16.6      63      32        -31        46        -17  
    2   normal        19.68     36      32         -4        38          2  
    1   normal        24.52     54      44        -10        46         -8  
    1   normal        22.62     26      25         -1        35          9  
    1   normal        23.52     65      32        -33        46        -19  
